"ANO_EJE","MES_EJE","NIVEL_GOBIERNO_NOMBRE","NIVEL","NIVEL_NOMBRE","PLIEGO","PLIEGO_NOMBRE","DEPARTAMENTO_AP4","DEPARTAMENTO_AP4_NOMBRE","PIM","EJECUCIÓN"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","01","AMAZONAS","35530721","26998685.11"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","02","ANCASH","58584470","43672193.85"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","03","APURIMAC","77412554","74140814.99"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","04","AREQUIPA","79329327","68756418.12"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","05","AYACUCHO","193130069","178634186.58"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","06","CAJAMARCA","120330479","116445192.74"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","08","CUSCO","90868159","81043488.02"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","09","HUANCAVELICA","56119349","49903047.84"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","10","HUANUCO","46783275","44380349.52"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","11","ICA","72041362","71782529.92"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","12","JUNIN","85680598","73230624.86"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","13","LA LIBERTAD","90200314","81300481.09"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","14","LAMBAYEQUE","20381476","16406551.19"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","15","LIMA","850870958","797228865.41"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","16","LORETO","47345190","42372616.38"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","17","MADRE DE DIOS","7515083","7225501.93"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","18","MOQUEGUA","24496024","16938638.91"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","19","PASCO","33068567","28777589.72"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","20","PIURA","41986551","34239931.34"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","21","PUNO","121107818","111287851.57"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","22","SAN MARTIN","32594347","30979155.08"
"2025","13","GOBIERNO NACIONAL","0101010101","MINISTERIOS","0011","MINISTERIO DE DESARROLLO AGRARIO Y RIEGO","23","TACNA","7681019","6349701.54"
